"","volumelag","rsilag","fastKlag","fastDlag","ADlag","OBVlag","MA5lag","MA15lag","day5Returnlag","day15Returnlag","PROClag"
"Day17",181670100,67.5666438824334,0.482894736842105,0.545680713111396,-0.427792915531342,1631494000,5.63544,5.55682,1.98923176989232,4.05921064759342,0.280291118398801
"Day18",244847500,51.2502991146207,0.0369846878680797,0.32882985275655,-0.81839213418161,1386646500,5.62286,5.55996666666667,-3.06471328101472,-0.286099569939497,-3.11265773534044
"Day19",131471700,48.9402310838206,0.0667797328810691,0.195553052530418,0.0015898251192473,1255174800,5.58198,5.55682666666667,-4.94452695029264,-2.25827314864719,-0.575493689053119
"Day20",116683600,48.9402310838206,0.0968403775133363,0.0668682660874951,0.500794912559624,1255174800,5.52538,5.54844666666667,-3.35044678545416,-2.80829626453721,0
"Day21",175350900,44.3011329207763,0.0857713974195896,0.0831305026046651,-0.142597638510443,1079823900,5.47508,5.53377333333333,-4.7352477457528,-2.56382381185338,-1.16287904202255
"Day22",133534700,49.4603570963754,0.200072687624932,0.127561487519286,1,1213358600,5.4342,5.52853333333333,-0.573840896215202,-1.70376526703765,1.16287904202255
"Day23",83909800,48.2513234366423,0.171361075776848,0.15240172027379,0.330508474576253,1129448800,5.42476,5.52119333333333,-0.29041448396288,-1.71042380098205,-0.290837005065292
"Day24",83983400,45.8524835968626,0.114301290205342,0.161911684535708,0.0015898251192473,1045465400,5.41532,5.51280666666667,-0.867567319180225,-2.27935714156293,-0.580515588485575
"Day25",117991400,47.2642151603589,0.142831182991095,0.142831182991095,1,1163456800,5.40902,5.50546666666667,0.583903600119006,-1.71530326707127,0.290679041586883
"Day26",76204700,43.5851368909915,0.0570597855715058,0.104730752922648,-1,1087252100,5.40586,5.49602666666667,-1.44655822075178,-2.5729549006069,-0.876449328627293
"Day27",76590100,45.1249957471353,0.0857713974195896,0.0952207886607303,0.334745762711874,1163842200,5.39328,5.48764,-0.868250778844903,-2.8402110284021,0.294243838568731
"Day28",86288000,45.1249957471353,0.0857713974195896,0.0762008601368951,0.0015898251192473,1163842200,5.38386,5.47716,-0.291101922756009,-4.7352477457528,0
"Day29",80739200,48.3729268558474,0.199949122360722,0.123830639066634,1,1244581400,5.387,5.46143333333333,0,-5.49488949069625,0.582205490058563
"Day30",113687800,52.8870136926758,0.320020351055711,0.201913623612008,0.600508905852421,1358269200,5.39644,5.44361333333333,1.76060278264762,-3.07153896715284,0.868834387151929
