Time,Open,High,Low,Close,Volume
Day1,10.1895,10.2735,10.1056,10.1392,55843500
Day2,10.1056,10.307,10.0552,10.2399,69631600
Day3,10.2063,10.2399,10.072000000000001,10.1224,63326800
Day4,10.0217,10.0552,9.7531,9.8202,87110000
Day5,9.9042,9.9545,9.8202,9.837,49455900
Day6,9.7531,10.156,9.7363,10.0049,76261200
Day7,10.156,10.1895,10.0217,10.0888,68573900
Day8,10.072000000000001,10.072000000000001,9.8874,9.9377,60998400
Day9,9.9881,10.0888,9.9042,9.921,47779800
Day10,9.921,10.0217,9.7867,9.9545,53699000
Day11,9.9713,10.0552,9.8874,9.9713,56842400
Day12,9.9042,10.0217,9.8202,9.9713,54214700
Day13,9.9881,10.3574,9.9545,10.3238,144660200
Day14,10.3238,10.4078,10.2567,10.3406,105688800
Day15,10.307,10.3406,10.2231,10.3238,71626500
Day16,10.4246,10.5421,10.3238,10.3574,118220100
Day17,10.7099,11.3478,10.6931,10.7771,290830000
Day18,10.6764,10.7939,10.5421,10.626,101352800
Day19,10.626,10.860999999999999,10.5756,10.6931,100237900
Day20,10.6428,11.2807,10.5924,11.1632,246359500
Day21,11.2135,12.2543,11.1632,11.7675,432488600
Day22,11.5828,11.7339,11.4318,11.5661,191915900
Day23,11.5325,11.5493,11.3478,11.4821,122285800
Day24,11.4485,11.6836,11.4318,11.5996,147110000
Day25,11.9018,12.2375,11.8682,12.0193,305422900
Day26,12.0529,12.1704,11.8346,12.0864,229277700
Day27,12.2375,12.5397,11.9689,12.1368,235559000
Day28,12.0025,12.3047,11.885,12.12,153473100
Day29,12.3382,12.4222,11.9521,11.9857,117009900
Day30,12.0025,12.0361,11.7339,11.7675,119873200
Day31,11.7339,11.8682,11.6332,11.7507,77156900
Day32,11.7339,11.7843,11.6332,11.65,57577900
Day33,11.6668,11.8011,11.5157,11.5661,106631600
Day34,11.65,11.7843,11.4653,11.5325,102926500
Day35,11.4989,11.5996,11.4318,11.4821,54113500
Day36,11.4821,11.6332,11.4485,11.6164,56994200
Day37,11.6332,11.7003,10.8106,11.1296,143656400
Day38,11.1464,11.331,11.0121,11.2135,76154200
Day39,11.1296,11.1967,11.0289,11.1296,48247400
Day40,11.0457,11.1128,10.8442,10.8946,60461300
Day41,10.8946,10.9953,10.8442,10.9785,41206400
Day42,10.8946,11.0792,10.8274,10.9953,65893500
Day43,10.9449,10.9953,10.860999999999999,10.9785,47710100
Day44,10.9449,10.9953,10.8946,10.9114,37705100
Day45,10.9114,11.2303,10.8274,11.2135,81339000
Day46,11.1296,11.2135,11.095999999999998,11.2135,59519000
Day47,11.2303,11.3646,11.18,11.1967,56997300
Day48,11.18,11.2135,11.0457,11.1128,50416800
Day49,11.095999999999998,11.2135,11.0457,11.1967,48129700
Day50,11.2135,11.5493,11.1464,11.4653,121959800
Day51,11.5493,11.5661,11.415,11.4653,90167100
